#   x       y(x)         y(x)^2         classical p(x)      V
 -7.020  0.27846974E-07  0.77545398E-15  0.00000000E+00   24.640200
 -7.010  0.29695309E-07  0.88181140E-15  0.00000000E+00   24.570050
 -7.000  0.31662877E-07  0.10025378E-14  0.00000000E+00   24.500000
 -6.990  0.33757134E-07  0.11395441E-14  0.00000000E+00   24.430050
 -6.980  0.35985987E-07  0.12949913E-14  0.00000000E+00   24.360200
 -6.970  0.38357820E-07  0.14713223E-14  0.00000000E+00   24.290450
 -6.960  0.40881521E-07  0.16712987E-14  0.00000000E+00   24.220800
 -6.950  0.43566512E-07  0.18980409E-14  0.00000000E+00   24.151250
 -6.940  0.46422780E-07  0.21550745E-14  0.00000000E+00   24.081800
 -6.930  0.49460909E-07  0.24463815E-14  0.00000000E+00   24.012450
 -6.920  0.52692115E-07  0.27764589E-14  0.00000000E+00   23.943200
 -6.910  0.56128280E-07  0.31503838E-14  0.00000000E+00   23.874050
 -6.900  0.59781993E-07  0.35738867E-14  0.00000000E+00   23.805000
 -6.890  0.63666591E-07  0.40534348E-14  0.00000000E+00   23.736050
 -6.880  0.67796196E-07  0.45963242E-14  0.00000000E+00   23.667200
 -6.870  0.72185768E-07  0.52107851E-14  0.00000000E+00   23.598450
 -6.860  0.76851145E-07  0.59060984E-14  0.00000000E+00   23.529800
 -6.850  0.81809096E-07  0.66927281E-14  0.00000000E+00   23.461250
 -6.840  0.87077374E-07  0.75824690E-14  0.00000000E+00   23.392800
 -6.830  0.92674770E-07  0.85886130E-14  0.00000000E+00   23.324450
 -6.820  0.98621173E-07  0.97261358E-14  0.00000000E+00   23.256200
 -6.810  0.10493763E-06  0.11011906E-13  0.00000000E+00   23.188050
 -6.800  0.11164641E-06  0.12464921E-13  0.00000000E+00   23.120000
 -6.790  0.11877108E-06  0.14106568E-13  0.00000000E+00   23.052050
 -6.780  0.12633655E-06  0.15960924E-13  0.00000000E+00   22.984200
 -6.770  0.13436920E-06  0.18055081E-13  0.00000000E+00   22.916450
 -6.760  0.14289690E-06  0.20419523E-13  0.00000000E+00   22.848800
 -6.750  0.15194914E-06  0.23088540E-13  0.00000000E+00   22.781250
 -6.740  0.16155709E-06  0.26100693E-13  0.00000000E+00   22.713800
 -6.730  0.17175371E-06  0.29499337E-13  0.00000000E+00   22.646450
 -6.720  0.18257384E-06  0.33333208E-13  0.00000000E+00   22.579200
 -6.710  0.19405431E-06  0.37657074E-13  0.00000000E+00   22.512050
 -6.700  0.20623402E-06  0.42532470E-13  0.00000000E+00   22.445000
 -6.690  0.21915410E-06  0.48028518E-13  0.00000000E+00   22.378050
 -6.680  0.23285799E-06  0.54222842E-13  0.00000000E+00   22.311200
 -6.670  0.24739159E-06  0.61202599E-13  0.00000000E+00   22.244450
 -6.660  0.26280339E-06  0.69065620E-13  0.00000000E+00   22.177800
 -6.650  0.27914458E-06  0.77921696E-13  0.00000000E+00   22.111250
 -6.640  0.29646924E-06  0.87894010E-13  0.00000000E+00   22.044800
 -6.630  0.31483446E-06  0.99120740E-13  0.00000000E+00   21.978450
 -6.620  0.33430053E-06  0.11175685E-12  0.00000000E+00   21.912200
 -6.610  0.35493108E-06  0.12597607E-12  0.00000000E+00   21.846050
 -6.600  0.37679326E-06  0.14197316E-12  0.00000000E+00   21.780000
 -6.590  0.39995797E-06  0.15996638E-12  0.00000000E+00   21.714050
 -6.580  0.42450000E-06  0.18020025E-12  0.00000000E+00   21.648200
 -6.570  0.45049827E-06  0.20294869E-12  0.00000000E+00   21.582450
 -6.560  0.47803605E-06  0.22851846E-12  0.00000000E+00   21.516800
 -6.550  0.50720115E-06  0.25725301E-12  0.00000000E+00   21.451250
 -6.540  0.53808622E-06  0.28953678E-12  0.00000000E+00   21.385800
 -6.530  0.57078893E-06  0.32580001E-12  0.00000000E+00   21.320450
 -6.520  0.60541230E-06  0.36652405E-12  0.00000000E+00   21.255200
 -6.510  0.64206491E-06  0.41224735E-12  0.00000000E+00   21.190050
 -6.500  0.68086126E-06  0.46357206E-12  0.00000000E+00   21.125000
 -6.490  0.72192202E-06  0.52117140E-12  0.00000000E+00   21.060050
 -6.480  0.76537435E-06  0.58579790E-12  0.00000000E+00   20.995200
